danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.71,0.783,10,-6.739,1,0.075,0.269,3.31e-05,0.0842,0.624,112.503,audio_features,6qhTVtHIsK8WVf7biagk7O,spotify:track:6qhTVtHIsK8WVf7biagk7O,https://api.spotify.com/v1/tracks/6qhTVtHIsK8WVf7biagk7O,https://api.spotify.com/v1/audio-analysis/6qhTVtHIsK8WVf7biagk7O,256400,3
0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,audio_features,0AUyNF6iFxMNQsNx2nhtrw,spotify:track:0AUyNF6iFxMNQsNx2nhtrw,https://api.spotify.com/v1/tracks/0AUyNF6iFxMNQsNx2nhtrw,https://api.spotify.com/v1/audio-analysis/0AUyNF6iFxMNQsNx2nhtrw,216721,4
0.712,0.597,11,-7.404,1,0.0326,0.364,0.00028,0.172,0.436,120.002,audio_features,0SRAVp51T68Ai1IifysTeh,spotify:track:0SRAVp51T68Ai1IifysTeh,https://api.spotify.com/v1/tracks/0SRAVp51T68Ai1IifysTeh,https://api.spotify.com/v1/audio-analysis/0SRAVp51T68Ai1IifysTeh,430417,4
0.67,0.894,6,-2.826,1,0.191,0.032,1.23e-06,0.379,0.457,92.985,audio_features,0TeTNIAV3fZdqFpSXzqBZk,spotify:track:0TeTNIAV3fZdqFpSXzqBZk,https://api.spotify.com/v1/tracks/0TeTNIAV3fZdqFpSXzqBZk,https://api.spotify.com/v1/audio-analysis/0TeTNIAV3fZdqFpSXzqBZk,230542,4
0.725,0.804,11,-4.614,0,0.0422,0.124,0.0,0.204,0.31,124.996,audio_features,0tBbt8CrmxbjRP0pueQkyU,spotify:track:0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/tracks/0tBbt8CrmxbjRP0pueQkyU,https://api.spotify.com/v1/audio-analysis/0tBbt8CrmxbjRP0pueQkyU,197993,4
0.714,0.863,2,-2.539,0,0.0631,0.62,6.43e-05,0.0972,0.828,99.978,audio_features,0zRsGGueSQLRkYWs4kPA4V,spotify:track:0zRsGGueSQLRkYWs4kPA4V,https://api.spotify.com/v1/tracks/0zRsGGueSQLRkYWs4kPA4V,https://api.spotify.com/v1/audio-analysis/0zRsGGueSQLRkYWs4kPA4V,190000,4
0.693,0.639,3,-5.215,1,0.0402,0.155,0.0,0.242,0.635,94.128,audio_features,1E6EwZziD55AK437Ra0b99,spotify:track:1E6EwZziD55AK437Ra0b99,https://api.spotify.com/v1/tracks/1E6EwZziD55AK437Ra0b99,https://api.spotify.com/v1/audio-analysis/1E6EwZziD55AK437Ra0b99,210280,4
0.675,0.392,4,-10.11,0,0.037,0.773,0.0,0.109,0.534,123.935,audio_features,1VvGJIAjhGdB7InVP9NA7V,spotify:track:1VvGJIAjhGdB7InVP9NA7V,https://api.spotify.com/v1/tracks/1VvGJIAjhGdB7InVP9NA7V,https://api.spotify.com/v1/audio-analysis/1VvGJIAjhGdB7InVP9NA7V,214736,4
0.406,0.504,3,-7.444,1,0.0646,0.537,0.0,0.109,0.495,77.796,audio_features,2HbrsAxOZfG0s1xCQuk6nB,spotify:track:2HbrsAxOZfG0s1xCQuk6nB,https://api.spotify.com/v1/tracks/2HbrsAxOZfG0s1xCQuk6nB,https://api.spotify.com/v1/audio-analysis/2HbrsAxOZfG0s1xCQuk6nB,203186,4
0.566,0.862,7,-6.02,0,0.105,0.0246,0.0,0.103,0.455,147.974,audio_features,2RBkVQwpkDeYytMTQwjyTk,spotify:track:2RBkVQwpkDeYytMTQwjyTk,https://api.spotify.com/v1/tracks/2RBkVQwpkDeYytMTQwjyTk,https://api.spotify.com/v1/audio-analysis/2RBkVQwpkDeYytMTQwjyTk,220313,4
